crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	16.888811	13568	0.000000
281474976710655.000000	17.078791	13569	0.000000
281474976710655.000000	17.212893	13570	0.000000
281474976710655.000000	17.840034	13571	0.000000
281474976710655.000000	17.015947	13572	0.000000
281474976710655.000000	17.315813	13573	0.000000
281474976710655.000000	16.955416	13574	0.000000
281474976710655.000000	17.606655	13575	0.000000
281474976710655.000000	17.419296	13576	0.000000
281474976710655.000000	17.256351	13577	0.000000
281474976710655.000000	16.947233	13578	0.000000
281474976710655.000000	16.980001	13579	0.000000
281474976710655.000000	16.796688	13580	0.000000
281474976710655.000000	17.061148	13581	0.000000
281474976710655.000000	17.417210	13582	0.000000
281474976710655.000000	17.074852	13583	0.000000
281474976710655.000000	17.184954	13584	0.000000
281474976710655.000000	16.904068	13585	0.000000
281474976710655.000000	17.173729	13586	0.000000
281474976710655.000000	17.210228	13587	0.000000
281474976710655.000000	16.873610	13588	0.000000
281474976710655.000000	17.170782	13589	0.000000
281474976710655.000000	16.781078	13590	0.000000
281474976710655.000000	17.140066	13591	0.000000
281474976710655.000000	16.779549	13592	0.000000
281474976710655.000000	16.440958	13593	0.000000
281474976710655.000000	17.485592	13594	0.000000
281474976710655.000000	16.867487	13595	0.000000
281474976710655.000000	17.369551	13596	0.000000
281474976710655.000000	16.607191	13597	0.000000
281474976710655.000000	17.075638	13598	0.000000
281474976710655.000000	16.866663	13599	0.000000
281474976710655.000000	16.619930	13600	0.000000
281474976710655.000000	16.569292	13601	0.000000
281474976710655.000000	16.633015	13602	0.000000
281474976710655.000000	16.545481	13603	0.000000
281474976710655.000000	16.493572	13604	0.000000
281474976710655.000000	16.771854	13605	0.000000
281474976710655.000000	16.370617	13606	0.000000
281474976710655.000000	16.652164	13607	0.000000
281474976710655.000000	16.445776	13608	0.000000
281474976710655.000000	16.798250	13609	0.000000
281474976710655.000000	17.358114	13610	0.000000
281474976710655.000000	16.613785	13611	0.000000
281474976710655.000000	16.505875	13612	0.000000
281474976710655.000000	16.767666	13613	0.000000
281474976710655.000000	16.299520	13614	0.000000
