num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
15903	89061.892344	65.709309	-9.894077	3.618249	18.026966
15905	89063.974369	64.886013	-10.053105	3.627170	17.429448
15907	89066.052668	66.745481	-9.897547	3.618397	18.028370
15909	89068.132923	66.254627	-10.209980	3.624765	17.129913
15911	89070.210648	64.589738	-10.007294	3.612527	16.734304
15913	89072.291577	66.354980	-9.688819	3.618273	16.148397
15915	89074.369653	65.980640	-9.777745	3.614870	16.308645
15917	89076.449613	63.690158	-9.810467	3.617877	16.366249
15919	89078.529395	66.088134	-9.662176	3.616229	17.194157
15921	89080.609667	65.970525	-9.673874	3.615705	16.812048
15923	89082.688157	66.698066	-9.750049	3.616139	16.595999
15925	89084.767475	66.283749	-9.727514	3.610174	16.807301
15927	89086.846968	64.366397	-9.939614	3.601361	16.455139
15929	89088.926186	64.402006	-9.691543	3.604370	16.856865
15931	89091.006639	65.815431	-9.679189	3.611897	16.653713
15933	89093.086270	63.712218	-10.165190	3.609116	15.994831
15935	89095.164970	64.661697	-9.704639	3.598746	16.145558
15937	89097.244990	65.667703	-10.453963	3.613636	16.703127
15939	89099.323757	65.336768	-9.563827	3.604049	16.758334
15941	89101.403910	62.502982	-9.653045	3.588014	16.077483
15943	89103.483828	63.449649	-9.572785	3.603058	15.919316
15945	89105.562661	63.772924	-9.499370	3.598184	16.024864
15947	89107.643088	65.226289	-9.503488	3.596374	15.960912
15949	89109.722355	64.117288	-9.533901	3.597034	15.496283
15951	89111.801597	62.884138	-9.573696	3.594066	16.332225
15953	89113.880109	64.275553	-9.564311	3.597291	15.447071
15955	89115.959646	62.555837	-9.631110	3.587820	15.425016
15957	89118.039571	64.021435	-9.352219	3.594252	15.927913
15959	89120.118532	64.745807	-9.441822	3.593798	15.633900
15961	89122.198723	63.987445	-9.388433	3.589796	15.429799
15963	89124.278569	63.729443	-9.364824	3.584755	16.185772
15965	89126.357845	63.985113	-9.478694	3.595076	15.825127
15967	89128.436756	63.353657	-9.377728	3.583413	15.561337
15969	89130.516407	64.016303	-9.399786	3.585378	15.385600
15971	89132.595504	64.255353	-9.367196	3.582949	15.726108
15973	89134.674986	63.801882	-9.642015	3.579501	15.431440
15975	89136.754151	63.441749	-10.682939	3.592686	15.452668
15977	89138.834073	61.320150	-9.504670	3.597330	14.967976
15979	89140.913271	62.755216	-9.473181	3.578887	15.082551
15981	89142.993078	62.486592	-9.288212	3.576907	14.595239
15983	89145.072734	63.736342	-9.264852	3.574873	15.123071
15985	89147.152335	63.819441	-9.274073	3.579734	15.352144
15987	89149.231514	58.676865	-9.321108	3.564074	15.233434
15989	89151.310811	63.511547	-9.302282	3.578600	14.990198
15991	89153.389975	62.154107	-9.207955	3.580025	15.165485
15993	89155.468610	61.096962	-9.137733	3.567321	14.718982
15995	89157.548090	62.637831	-9.319363	3.574549	14.698384
15997	89159.626460	62.558515	-9.110920	3.571396	14.564499
15999	89161.707653	63.059410	-9.464346	3.559344	14.587064
16001	89163.787185	58.449408	-9.547867	3.566953	14.566075
16003	89165.866705	62.688158	-9.235955	3.566539	14.790351
16005	89167.945931	62.346819	-9.095376	3.567607	15.012093
16007	89170.026007	63.332772	-9.071738	3.569995	14.849841
16009	89172.104534	62.492709	-9.131244	3.567316	14.817364
16011	89174.183544	59.938768	-10.026474	3.550876	14.807098
16013	89176.263128	61.658181	-9.119219	3.561457	14.618061
16015	89178.342155	61.237822	-9.332459	3.559696	15.160102
16017	89180.421525	62.611940	-9.013705	3.567047	14.669023
16019	89182.501228	61.586135	-9.033013	3.562651	14.781297
16021	89184.580465	60.623074	-9.057829	3.563383	14.607393
16023	89186.659972	61.803491	-9.185426	3.558123	14.240497
16025	89188.739742	61.895967	-9.927556	3.556529	14.588494
16027	89190.819241	59.331297	-8.952848	3.560266	14.736259
16029	89192.898994	61.520072	-8.983994	3.551464	14.593466
16031	89194.977886	61.713010	-9.022854	3.556781	14.203789
16033	89197.056977	60.277471	-8.995485	3.549712	13.740187
16035	89199.136694	57.789316	-9.050475	3.548051	14.425468
16037	89201.215943	61.446439	-8.962303	3.549307	14.101459
16039	89203.294533	61.369731	-8.794511	3.551503	14.397991
16041	89205.374091	61.685630	-8.823727	3.552758	13.876701
16043	89207.453124	60.890445	-9.083519	3.549697	14.396532
16045	89209.532580	60.295609	-8.919926	3.539250	13.992316
16047	89211.613106	61.142611	-8.788731	3.551993	13.756132
16049	89213.691845	59.083407	-8.751095	3.545220	13.608174
16051	89215.771827	59.392759	-9.053272	3.536783	14.324368
16053	89217.850587	53.848609	-8.760385	3.533368	14.031200
16055	89219.929304	60.583104	-8.709698	3.545762	13.630076
16057	89222.009672	60.272443	-8.709692	3.544566	13.491346
16059	89224.088448	60.409217	-8.706170	3.539583	13.975109
16061	89226.167772	61.494787	-8.845530	3.540700	13.666194
16063	89228.246893	59.368053	-8.749546	3.536997	13.645182
16065	89230.326755	60.316800	-8.726251	3.540574	12.982476
16067	89232.405853	60.518318	-8.687539	3.541151	13.128728
16069	89234.484722	60.766439	-8.798389	3.540241	13.417489
16071	89236.564518	59.356065	-8.601377	3.534253	13.576651
16073	89238.643369	59.397312	-8.680203	3.538062	13.164731
16075	89240.722038	58.622188	-8.711402	3.536592	13.540053
16077	89242.801536	54.695881	-8.664011	3.548664	13.042452
16079	89244.880722	59.410774	-8.685206	3.532823	13.693732
16081	89246.959919	59.169924	-8.610131	3.531268	13.176467
16083	89249.039394	59.073204	-8.550456	3.527258	13.295079
16085	89251.119492	54.613936	-9.116096	3.526100	13.256808
16087	89253.198809	60.220076	-8.782480	3.530002	13.356750
16089	89255.278349	59.862370	-9.476305	3.529812	13.224676
16091	89257.357532	59.416675	-8.700485	3.528215	13.332179
16093	89259.436241	57.734964	-8.585116	3.531249	12.741981
16095	89261.516058	57.689613	-8.564413	3.523943	13.048455
16097	89263.595184	57.772555	-8.616775	3.522842	12.463499
16099	89265.674435	58.482936	-8.441609	3.520073	12.400156
16101	89267.753845	56.920705	-8.320209	3.514476	13.184934
16103	89269.832954	59.376553	-8.484916	3.524545	13.325392
16105	89271.912687	57.919485	-8.378162	3.521890	13.031535
16107	89273.991388	57.999615	-8.448336	3.517373	12.787427
16109	89276.071191	58.577427	-8.427371	3.522380	12.629785
16111	89278.150471	58.931752	-8.377260	3.520303	12.559592
16113	89280.229554	58.222035	-8.524804	3.520958	12.819087
16115	89282.308788	54.917853	-8.739683	3.509157	12.502605
16117	89284.387616	58.736472	-8.582819	3.510836	12.562705
16119	89286.465925	58.273526	-8.501614	3.515972	12.560859
16121	89288.545361	57.307205	-8.467122	3.510270	12.800990
16123	89290.625003	57.788623	-8.666564	3.512276	12.506455
16125	89292.703857	58.140952	-8.311120	3.515218	12.574084
16127	89294.783700	56.366713	-8.286235	3.506831	12.484617
16129	89296.863233	56.779343	-8.382392	3.505468	12.812042
16131	89298.942793	56.795924	-8.299461	3.505221	12.609297
